SPEC #,GROUP,BV/TV,OV/TV,OV/BV,BS/BV,OS/BS,ObS/BS,ObS/OS,OcS/BS,TbTh,OTh,NOb/TAR,NOb/BPm,NOb/Opm,Nob/Obpm,NOc/TAR,NOc/BPm,TbSp,TbN
FV01,,10.25,0.73,7.14,46.2,46.4,15.51,33.41,3.16,43.29,3.36,64.98,13.72,29.57,88.51,3.82,0.81,379.14,2.37
FV02,,6.78,0.18,2.63,40.94,18.32,8.64,47.17,9.8,48.85,3.29,20.9,7.53,41.08,87.09,6.97,2.51,671.47,1.39
FV03,,10.64,0.55,5.21,53.77,37.02,13.66,36.9,2.21,37.19,2.66,68.33,11.94,32.26,87.43,5.12,0.89,312.37,2.86
FV04,,17.54,0.42,2.4,38.23,19.94,2.6,13.04,2.36,52.32,3.07,17.25,2.57,12.9,98.96,5.45,0.81,246.03,3.35
FV05,,16.11,0.46,2.89,51.35,18.16,7.54,41.53,7.29,38.94,3.07,57.59,6.96,38.34,92.31,19.7,2.38,202.85,4.13
FV06,,17.71,0.32,1.82,44.93,15.82,3.34,21.11,3.44,44.51,2.53,20.32,2.55,16.14,76.45,10.16,1.28,206.86,3.98
FV07,,12.01,0.34,2.83,57.34,16.49,6.68,40.5,5.66,34.88,2.95,37.11,5.39,32.68,80.69,12.37,1.8,255.57,3.44
FV08,,10.98,0.4,3.65,66.97,22.37,5.49,24.52,7.36,29.86,2.43,36.51,4.96,22.18,90.47,16.49,2.24,242.05,3.68
FV09,,26.49,0.83,3.12,43.67,25.72,8.08,31.41,2.77,45.79,2.78,94.74,8.19,31.84,101.35,11.04,0.95,127.1,5.78
FV10,,17.61,0.32,1.8,49.71,15.07,6.12,40.64,5.44,40.23,2.42,54.12,6.18,41,100.9,15.67,1.79,188.16,4.38
FV11,,5.91,0.31,5.2,63.51,30.1,10.51,34.9,9.44,31.49,2.74,35.23,9.39,31.19,89.36,11.43,3.04,501.54,1.88
FV12,,8.87,0.36,4.05,57.41,23.97,10.42,43.48,7.93,34.84,2.94,39.81,7.82,32.61,75.01,12.62,2.48,357.9,2.55
FV14,,10.81,0.51,4.76,49.17,31,16.5,53.22,8.61,40.67,3.04,82.03,15.43,49.77,93.53,14.58,2.74,335.53,2.66
FV15,,22.49,0.24,1.08,45.11,9.57,5.02,52.43,8.54,44.34,2.54,50.94,5.02,52.49,100.05,28.58,2.82,152.8,5.07
FV16,,23.84,0.98,4.11,45.53,28.61,17.02,59.49,8.39,43.92,3.14,185.76,17.11,59.81,100.54,22.02,2.03,140.33,5.43
FV17,,18.12,1.25,6.89,51.89,44.14,24.19,54.8,7.27,38.54,3,201.35,21.41,48.5,88.5,21.64,2.3,174.11,4.7
FV18,,11.41,0.53,4.65,64.03,25.9,4.43,17.12,5.18,31.23,2.8,33.39,4.57,17.65,103.08,13.36,1.83,242.6,3.65
FV19,,26.57,0.37,1.39,39.2,13.86,6.25,45.08,6.85,51.02,2.57,56.13,5.39,38.89,86.27,21.29,2.04,141.01,5.21
FV20,,16.33,0.88,5.4,50.05,38.87,11.52,29.64,5.33,39.96,2.79,89.15,10.91,28.05,94.64,12.3,1.5,204.71,4.09
FV21,,18.3,1.07,5.84,44.43,37.48,21.75,58.02,6.71,45.01,3.53,174.01,21.39,57.08,98.39,16.61,2.04,200.9,4.07
FV22,,22.96,1.17,5.08,41.14,32.61,17.63,54.05,2.88,48.61,3.76,159.97,16.62,50.96,94.27,8,0.85,163.12,4.72
FV23,,12.28,0.73,5.98,55.62,34.98,14.06,40.18,2.28,35.97,3.04,121.49,17.78,50.84,126.52,7.59,1.11,256.82,3.41
FV24,,8.82,0.77,8.69,56.69,43.08,27.65,64.18,7.28,35.28,3.53,136.44,27.3,63.36,98.72,12.4,2.48,364.87,2.5
FV25,,11.99,0.48,4.03,39.97,28.58,9.48,33.16,4.33,50.03,3.47,41.34,8.63,30.18,91.02,5.56,1.16,367.3,2.4
FV26,,29.25,0.96,3.29,43.13,25.96,14.58,56.15,6.17,46.37,2.9,189.03,14.98,57.71,102.78,26.6,2.11,112.16,6.31
FV27,,17.08,0.46,2.73,55.54,18.69,9.87,52.79,5.18,36.01,2.57,102.2,10.77,57.62,109.15,13.15,1.39,174.79,4.74
FV28,,15.04,1.32,8.8,48.72,53.22,21.23,39.9,1.9,41.05,3.46,159.42,21.75,40.86,102.43,5.11,0.7,231.82,3.66
FV29,,14.57,0.4,2.73,42.81,22.91,6.58,28.74,2.86,46.72,2.77,41.74,6.69,29.22,101.64,5.22,0.84,273.92,3.12
FV30,,16.6,0.8,4.81,43.12,31.67,9.37,29.6,1.75,46.38,3.49,60.25,8.41,26.57,89.78,4.86,0.68,232.96,3.58
FV31,,7.51,0.49,6.56,69.99,34.9,16.79,48.09,8.46,28.57,2.7,75.44,14.35,41.11,85.48,12.57,2.39,351.84,2.63
FV32,,15.18,0.6,3.95,52.88,26.84,9.58,35.7,5.54,37.82,2.82,73,9.09,33.87,94.87,14.1,1.76,211.21,4.01
FV33,,19.22,0.73,3.82,55.09,24.08,9.04,37.53,2.79,36.3,2.88,86.31,8.15,33.85,90.17,8.32,0.78,152.56,5.29
FV34,,14.66,0.37,2.54,48.64,21.92,6.12,27.91,5.67,41.12,2.38,44.35,6.22,28.37,101.63,12.55,1.76,239.28,3.57
FV35,,8.9,0.27,3.07,44.39,28.4,9.7,34.16,4.33,45.05,2.41,31.34,7.93,27.94,81.79,31.34,1.25,461.22,1.97
FV36,,15.1,0.45,3.01,49.75,23.13,5.75,24.84,6.09,40.2,2.66,54.63,7.27,31.43,126.51,13.92,1.85,225.94,3.76
FV37,,14.84,0.6,4.04,49.17,21.95,4.71,21.47,6.14,40.69,3.74,31.11,4.26,19.43,90.5,12.96,1.78,233.46,3.65
FV38,,6.7,0.35,5.17,61.94,33.84,16.01,47.3,8.1,32.29,2.51,68.23,16.43,48.56,102.66,11.37,2.74,449.44,2.07
FV39,,20.59,0.98,4.79,37.69,36.97,13.68,36.99,8.03,53.07,3.43,108.17,13.94,37.7,101.92,20.28,2.61,204.69,3.88
FV40,,24.73,0.71,2.88,36.37,23.14,11.05,47.76,7.86,54.99,3.36,96.48,10.72,46.35,97.05,21.81,2.42,167.36,4.5
FV41,,5.35,0.11,2.12,44.11,21.45,5.71,26.63,1.34,45.34,2.3,13.42,5.68,26.5,99.51,1.12,0.47,801.73,1.18
FV42,,15.43,0.65,4.2,58.39,28.65,12.37,43.18,6.71,34.25,2.51,106.23,11.79,41.16,95.33,18.14,2.01,187.75,4.5
FV43,,19.8,0.71,3.6,49.33,23.79,8.43,35.45,14.81,40.54,3.07,78.96,8.08,33.97,95.84,36.52,3.74,164.16,4.88
FV44,,24.93,1.16,4.67,34.94,38.61,28.49,68.59,9.34,57.24,3.41,238.97,27.43,71.04,103.56,23.23,2.67,172.34,4.35
FV45,,6.69,0.17,2.62,54.17,21.48,6.2,28.85,16.3,36.92,2.23,24.15,6.67,31.03,107.57,14.49,4,515.01,1.81
FV46,,13.2,0.66,5.01,53.7,29.75,14.99,50.39,9.91,37.24,3.18,106.63,15.04,50.56,100.34,21.33,3.01,244.93,3.54
FV47,,19.46,1.33,6.84,42.39,47.71,28.78,60.33,6.75,47.18,3.36,219.24,26.57,55.7,92.33,18.27,2.21,195.22,4.12
FV48,,15.16,0.78,5.17,50.75,34.34,20.01,58.27,9.62,39.4,2.96,159.23,20.69,60.25,103.4,21.93,2.85,220.52,3.85
FV49,,18.81,0.97,5.14,45.79,31.81,15.22,47.85,7.25,43.67,3.58,132.68,15.4,48.41,101.17,19.94,2.31,188.5,4.31
FV50,,26.95,1.61,5.98,50.73,34.4,21.99,63.92,6.4,39.43,3.4,335.31,24.53,71.31,111.56,23.27,1.7,106.88,6.83
FV51,,20.08,0.57,2.86,43.25,20.22,12.01,59.37,19.11,46.24,3.21,96.33,11.09,54.83,92.35,52.45,6.04,184.02,4.34
FV52,,22.86,1.55,6.79,47.62,46.35,23.52,50.76,6.29,42,3.06,269.99,24.81,53.52,105.45,25.37,2.33,141.76,5.44
FV53,,27.38,1.14,4.15,46.83,25.37,14.67,57.82,5.8,42.71,3.5,194.77,15.19,59.86,103.54,22.32,1.74,113.28,6.41
FV54,,36.36,0.92,2.53,35.99,23.12,10.12,43.76,12.44,55.57,3.01,117.57,8.98,38.85,88.79,40.61,3.1,97.23,6.54
FV55,,15.58,0.74,4.76,38.04,35.18,17.8,50.61,7.56,52.57,3.52,107.94,18.21,50.79,102.3,12.95,2.18,284.89,2.96
FV56,,31.47,0.49,1.55,27.99,18.9,10.95,57.96,12.25,71.46,2.84,102.39,11.63,61.51,106.13,30.11,3.42,155.64,4.4
FV057,,7.6,0.32,4.22,52.56,27.79,14.84,53.42,8.85,38.05,2.95,59.16,14.8,53.27,99.71,10,2.5,462.35,2
FV058,,6.27,0.28,4.44,71.11,21.91,8.62,39.33,10.07,28.13,2.86,29.73,6.66,30.42,70.33,10.17,2.28,420.16,2.23
FV059,,7.68,0.45,5.87,65.84,27.29,14.91,54.64,5.86,30.38,3.31,82.11,16.23,59.46,108.82,9.12,1.8,364.91,2.53
FV060,,6.29,0.42,6.76,66.39,37.19,24.95,67.09,5.48,30.12,2.74,99.44,23.82,64.05,95.46,6.86,1.64,448.94,2.09
